Number of rounds,Agent name,Agent score
1,Mr. Copy,25
1,Mr. Copy,25
1,Mr. Copy,25
1,Mr. Evil,42
1,Mr. Good,25
1,Mr. Good,25
1,Mr. Good,25
1,Mr. Good,25
1,Mr. Good,25
1,Mr. Grudge,25
1,Mr. Grudge,25
1,Mr. Grudge,25
1,Mr. Grudge,25
1,Mr. Sherlock,25
1,Mr. Sherlock,25
