Number of rounds,Agent name,Agent score
1,Mr. Copy,12
1,Mr. Copy,12
1,Mr. Evil,24
1,Mr. Evil,24
1,Mr. Good,12
1,Mr. Good,12
1,Mr. Grudge,12
1,Mr. Grudge,12
1,Mr. Sherlock,12
1,Mr. Sherlock,12
